province,date_vaccine_administered,avaccine,cumulative_avaccine,deaths,cases
Canada,14-12-2020,297,297,121,8560
Canada,15-12-2020,866,1163,113,6181
Canada,16-12-2020,2520,3683,132,6538
Canada,17-12-2020,3518,7201,121,7040
Canada,18-12-2020,3414,10615,115,6700
Canada,19-12-2020,1279,11894,126,6360
Canada,20-12-2020,2598,14492,63,5806
Canada,21-12-2020,6374,20866,112,7850
Canada,22-12-2020,5421,26287,104,6272
Canada,23-12-2020,8802,35089,178,6947
Canada,24-12-2020,10309,45398,120,5698
Canada,25-12-2020,302,45700,1,400
Canada,26-12-2020,3019,48719,9,1722
Canada,27-12-2020,3561,52280,161,9797
Canada,28-12-2020,7169,59449,274,10739
Canada,29-12-2020,11300,70749,207,8876
Canada,30-12-2020,8733,79482,120,7596
Canada,31-12-2020,16350,95832,120,7115
Canada,01-01-2021,8515,104347,12,714
Canada,02-01-2021,8078,112425,50,4618
Canada,03-01-2021,5302,117727,168,12056
Canada,04-01-2021,19032,136759,222,14363
Canada,05-01-2021,18768,155527,163,7341
Canada,06-01-2021,28163,183690,172,7927
Canada,07-01-2021,35774,219464,175,8172
Canada,08-01-2021,41770,261234,156,9195
Canada,09-01-2021,36118,297352,130,8398
Canada,10-01-2021,23697,321049,82,6894
Canada,11-01-2021,39111,360160,151,8879
Canada,12-01-2021,28333,388493,170,6076
Canada,13-01-2021,30716,419209,145,7180
Canada,14-01-2021,40283,459492,153,7478
Canada,15-01-2021,48195,507687,144,6899
Canada,16-01-2021,35604,543291,144,6268
Canada,17-01-2021,27451,570742,147,5865
Canada,18-01-2021,43924,614666,116,6639
Canada,19-01-2021,36473,651139,155,5201
Canada,20-01-2021,45103,696242,196,5538
Canada,21-01-2021,42622,738864,165,6234
Canada,22-01-2021,37742,776606,190,5773
Canada,23-01-2021,24632,801238,136,4949
Canada,24-01-2021,15213,816451,107,4366
Canada,25-01-2021,23498,839949,169,5921
Canada,26-01-2021,28505,868454,156,4096
Canada,27-01-2021,22870,891324,131,4301
Canada,28-01-2021,23907,915231,120,4811
Canada,29-01-2021,21968,937199,155,4824
Canada,30-01-2021,15013,952212,126,3888
Canada,31-01-2021,5017,957229,72,3829
Canada,01-02-2021,18290,975519,110,4665
Canada,02-02-2021,11700,987219,105,2945
Canada,03-02-2021,13768,1000987,125,3286
Canada,04-02-2021,19079,1020066,126,4098
Canada,05-02-2021,22835,1042901,104,3995
Canada,06-02-2021,21469,1064370,90,3254
Canada,07-02-2021,11885,1076255,56,3057
Canada,08-02-2021,22203,1098458,70,3924
Canada,09-02-2021,25771,1124229,91,2641
Canada,10-02-2021,29760,1153989,85,3247
Canada,11-02-2021,32101,1186090,94,3189
Canada,12-02-2021,35449,1221539,74,3446
Canada,13-02-2021,31403,1252942,71,3010
Canada,14-02-2021,17824,1270766,29,2019
Canada,15-02-2021,2729,1273495,24,1962
Canada,16-02-2021,33289,1306784,100,4158
Canada,17-02-2021,22252,1329036,45,2738
Canada,18-02-2021,25253,1354289,72,3397
Canada,19-02-2021,47850,1402139,70,3140
Canada,20-02-2021,49707,1451846,46,2577
Canada,21-02-2021,40424,1492270,41,2308
Canada,22-02-2021,61733,1554003,47,3997
Canada,23-02-2021,48362,1602365,44,2807
Canada,24-02-2021,49917,1652282,48,2934
Canada,25-02-2021,55116,1707398,55,3139
Canada,26-02-2021,67201,1774599,47,3215
Canada,27-02-2021,61729,1836328,48,2556
Canada,28-02-2021,46624,1882952,25,2216
Canada,01-03-2021,66691,1949643,26,3796
Canada,02-03-2021,64485,2014128,31,2704
Canada,03-03-2021,77572,2091700,58,2772
Canada,04-03-2021,76438,2168138,50,3042
Canada,05-03-2021,85376,2253514,34,3237
Canada,06-03-2021,76108,2329622,21,2402
Canada,07-03-2021,57567,2387189,20,2206
Canada,08-03-2021,78246,2465435,38,4483
Canada,09-03-2021,77818,2543253,35,2934
Canada,10-03-2021,86900,2630153,28,3084
Canada,11-03-2021,89074,2719227,38,3268
Canada,12-03-2021,109213,2828440,32,3575
Canada,13-03-2021,105567,2934007,28,2993
Canada,14-03-2021,92658,3026665,26,2627
Canada,15-03-2021,124640,3151305,33,4029
Canada,16-03-2021,120004,3271309,25,3015
Canada,17-03-2021,138091,3409400,37,3458
Canada,18-03-2021,156928,3566328,30,3694
Canada,19-03-2021,154941,3721269,28,4357
Canada,20-03-2021,141064,3862333,30,3377
Canada,21-03-2021,91952,3954285,25,3027
Canada,22-03-2021,143559,4097844,44,5153
Canada,23-03-2021,125428,4223272,20,3687
Canada,24-03-2021,170604,4393876,26,4039
Canada,25-03-2021,189852,4583728,32,5231
Canada,26-03-2021,217025,4800753,36,5222
Canada,27-03-2021,166566,4967319,18,4432
Canada,28-03-2021,146438,5113757,23,4051
Canada,29-03-2021,187207,5300964,21,6614
Canada,30-03-2021,169920,5470884,32,4971
Canada,31-03-2021,218596,5689480,42,5793
Canada,01-04-2021,203624,5893104,45,5814
Canada,02-04-2021,75503,5968607,19,4090
Canada,03-04-2021,219944,6188551,15,7241
Canada,04-04-2021,44982,6233533,22,4020
Canada,05-04-2021,320956,6554489,41,10551
Canada,06-04-2021,206306,6760795,34,7398
Canada,07-04-2021,231009,6991804,32,7484
Canada,08-04-2021,259623,7251427,34,8241
Canada,09-04-2021,321339,7572766,36,9152
Canada,10-04-2021,213041,7785807,33,7208
Canada,11-04-2021,205920,7991727,24,7457
Canada,12-04-2021,336841,8328568,43,11196
Canada,13-04-2021,269702,8598270,45,7387
Canada,14-04-2021,298192,8896462,54,9171
Canada,15-04-2021,308845,9205307,56,9612
Canada,16-04-2021,320425,9525732,46,9309
Canada,17-04-2021,249535,9775267,42,7210
Canada,18-04-2021,198376,9973643,37,7646
Canada,19-04-2021,269775,10243418,41,10653
